name startdate enddate length diameter unit gas fix_time rock uncertainty_inlet uncertainty_outlet
HY_ZG22_14 15.12.2021 16.12.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG22_20 10.01.2022 14.01.2022 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001

HY_V3 12.02.2020 19.02.2020 0.20024 0.10122 6 H2 7 salt/cement 200e5*0.001 60e5*0.001
HY_V3_2 19.02.2020 26.02.2020 0.20024 0.10122 6 H2 14 salt/cement 200e5*0.001 60e5*0.001
HY_V3_3 26.02.2020 26.02.2020 0.20024 0.10122 6 H2 21 salt/cement 200e5*0.001 60e5*0.001
HY_V1 27.08.2020 16.09.2020 0.20157 0.10118 6 H2 8 salt/cement 200e5*0.001 60e5*0.001
HY_V7 20.08.2021 06.09.2021 0.18761 0.10118 6 H2 5 salt/cement 200e5*0.001 60e5*0.001
HY_V7_0 20.08.2021 06.09.2021 0.18761 0.04200 6 H2 5 salt/cement 200e5*0.001 60e5*0.001
HY_V9 15.12.2020 18.01.2021 0.20095 0.10126 6 H2 7 salt/cement/steel 200e5*0.001 60e5*0.001
HY_V9_0 15.12.2020 18.01.2021 0.20095 0.04200 6 H2 7 salt/cement/steel 200e5*0.001 60e5*0.001
HY_V9_2_CH4 27.01.2021 10.02.2021 0.20095 0.10126 6 CH4 7 salt/cement/steel 200e5*0.001 60e5*0.001

HY_SA1 23.09.2020 25.09.2020 0.08918 0.10107 6 H2 7 salt/anhydrit 200e5*0.001 60e5*0.001
HY_SA2 07.10.2020 12.10.2020 0.08531 0.10104 6 H2 7 salt/anhydrit 200e5*0.001 60e5*0.001
HY_SA2_2 16.10.2020 28.10.2020 0.08531 0.10104 6 H2 16 salt/anhydrit 200e5*0.001 60e5*0.001
HY_SA2_3 17.11.2020 08.12.2020 0.08531 0.10104 6 H2 6 salt/anhydrit 200e5*0.001 60e5*0.001
HY_SA2_4_CH4 27.01.2021 10.02.2021 0.08531 0.10104 6 CH4 7 salt/anhydrit 200e5*0.001 60e5*0.001

HY_A1 10.06.2020 12.06.2020 0.20382 0.10108 6 H2 7 anhydrit 200e5*0.001 60e5*0.001
HY_A1_2 08.07.2020 20.07.2020 0.20382 0.10108 6 H2 1 anhydrit 200e5*0.001 60e5*0.001
HY_A1_3 24.07.2020 27.07.2020 0.20382 0.10108 6 H2 1 anhydrit 200e5*0.001 60e5*0.001
HY_A1_4 17.11.2020 08.12.2020 0.20382 0.10108 6 H2 6 anhydrit 200e5*0.001 60e5*0.001
HY_A1_5_CH4 08.03.2021 22.03.2021 0.20382 0.10108 6 CH4 4 anhydrit 200e5*0.001 60e5*0.001
HY_A2 10.06.2020 12.06.2020 0.20337 0.10101 6 H2 7 anhydrit 200e5*0.001 60e5*0.001
HY_A2_2 08.07.2020 14.07.2020 0.20337 0.10101 6 H2 1 anhydrit 200e5*0.001 60e5*0.001
HY_A2_3 16.07.2020 20.07.2020 0.20337 0.10101 6 H2 2 anhydrit 200e5*0.001 60e5*0.001
HY_A2_4 02.09.2020 22.09.2020 0.20337 0.10101 6 H2 7 anhydrit 200e5*0.001 60e5*0.001
HY_A2_5_CH4 26.04.2021 02.05.2021 0.20337 0.10101 6 CH4 3 anhydrit 200e5*0.001 60e5*0.001
HY_A3 17.01.2022 18.01.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_2_CH4 19.01.2022 20.01.2022 0.07427 0.10107 4 CH4 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_03 21.01.2022 24.01.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_04 24.01.2022 25.01.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_05 25.01.2022 26.01.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_06 26.01.2022 28.01.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_07 28.01.2022 31.01.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_08 31.01.2022 01.02.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_09 01.02.2022 02.02.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_10 02.02.2022 03.02.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_11 03.02.2022 04.02.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001
HY_A3_12 04.02.2022 07.02.2022 0.07427 0.10107 4 H2 7 anhydrit 25e5*0.001 10e5*0.001


HY_S9 15.08.2019 28.08.2019 0.20095 0.10126 5 H2 7 salt 200e5*0.001 60e5*0.001
HY_S9_2 29.08.2019 02.09.2019 0.20095 0.10126 5 H2 21 salt 200e5*0.001 60e5*0.001
HY_S9_3 04.09.2019 27.09.2019 0.20095 0.10126 5 H2 28 salt 200e5*0.001 60e5*0.001

Messbereich 01.01.2020 10.04.2020 0.2 0.2 6 H2 0 test

test 01.01.2000 10.01.2000 0.09570 0.05485 3 N2 1 sandstone
p293151g 01.01.2000 10.01.2000 0.09609 0.05469 3 air 1 sandstone
granit0118g 01.01.2000 10.01.2000 0.09885 0.06720 3 air 1 granit
c0011ka 01.01.2000 10.01.2000 0.03022 0.04099 3 air 1 granit

OK_PL2_PR2 03.03.2021 03.03.2021 0.05137 0.05003 2 N2 0 sand
OK_PL2_PR2_2 03.03.2021 03.03.2021 0.05137 0.05003 2 N2 0 sand
OK_PL2_PR2_3 03.03.2021 03.03.2021 0.05137 0.05003 2 N2 0 sand
